Agent,R/N    ,PAX,Revenue,AvgRate,Rm,PAX
Royal_Thai_Armed_Forces,0,0,0.00,0.00,0,0
Love_Art_Paradise,0,0,0.00,0.00,0,0
A&P_Solution_and_Managemen,0,0,0.00,0.00,0,0
Centerom,0,0,0.00,0.00,0,0
Thai_Tour_Info,0,0,0.00,0.00,0,0
Tropical_Voyages_W,0,0,0.00,0.00,0,0
PK_Maker,0,0,0.00,0.00,0,0
Department_of_Land_Transport,0,0,0.00,0.00,0,0
Sajawan,0,0,0.00,0.00,0,0
P_&_S_Project,0,0,0.00,0.00,0,0
Pacific_Holiday_Thailand,0,0,0.00,0.00,0,0
H_I_S_ToursTOOKTR,0,0,0.00,0.00,0,0
Khun_Pimwara_and_Family,0,0,0.00,0.00,0,0
Demontration_School_of_Khon,0,0,0.00,0.00,0,0
South_Asia_Travel_Group,0,0,0.00,0.00,0,0
Y_S_Pund,0,0,0.00,0.00,0,0
Mind_Dojo,0,0,0.00,0.00,0,0
Siam_Fibreement_,0,0,0.00,0.00,0,0
Classic_Express_Gro,0,0,0.00,0.00,0,0
ABT_Associates_Inc_,0,0,0.00,0.00,0,0
Chan_Wanich,0,0,0.00,0.00,0,0
Thai_Koon_Steel,0,0,0.00,0.00,0,0
Bank_of_Ayutthaya_Public,0,0,0.00,0.00,0,0
Mangkhut_Thai_FIT,0,0,0.00,0.00,0,0
Khun_Ratnisa_and_Party,0,0,0.00,0.00,0,0
Huon_Tai_Ja_Yi_Traveltd,0,0,0.00,0.00,0,0
Phuket_Like_Tour,0,0,0.00,0.00,0,0
Denso_Tool_&_Die_Thailand,0,0,0.00,0.00,0,0
Thai_Life_Insurance_Public,0,0,0.00,0.00,0,0
Aira_Factoring_Public,0,0,0.00,0.00,0,0
Chandrarat_Travel_Thailand_,0,0,0.00,0.00,0,0
King_Long_Group_Thailand,0,0,0.00,0.00,0,0
Use_Well_Developmentt,0,0,0.00,0.00,0,0
Tarntawan_Group,0,0,0.00,0.00,0,0
China_Travel_Service_Head_Off,0,0,0.00,0.00,0,0
Thai_Mei_Travel_Trading,0,0,0.00,0.00,0,0
Golden_Sand,0,0,0.00,0.00,0,0
GCR_International_Group_Gro,0,0,0.00,0.00,0,0
Forever_Travel_Servicet,0,0,0.00,0.00,0,0
ITS_Govacation_Thailand_,0,0,0.00,0.00,0,0
Web_Sawadee_Public,0,0,0.00,0.00,0,0
Kinnaree_Holiday_,0,0,0.00,0.00,0,0
Thai_Fuji_Xerox_,0,0,0.00,0.00,0,0
Gulet_Touristik/Tui_Oesterreic,0,0,0.00,0.00,0,0
L'tur_Tourismus_AG/O_Go_T,0,0,0.00,0.00,0,0
Asian_Dreams/o_GoVacation,0,0,0.00,0.00,0,0
Thammasart_University,0,0,0.00,0.00,0,0
Grand_Orchid_Travel,0,0,0.00,0.00,0,0
Tui_Germany_,0,0,0.00,0.00,0,0
St_Andrews_Internation_School,0,0,0.00,0.00,0,0
ShinEtsu_Magnetics_Thailand_,0,0,0.00,0.00,0,0
Asia_Journey_Exclusive,0,0,0.00,0.00,0,0
Corus_Asia_,0,0,0.00,0.00,0,0
Boon_Rawd_Brewery_,0,0,0.00,0.00,0,0
Charoen_Pokphand_Food_Pcl_,0,0,0.00,0.00,0,0
Office_Of_The_National_AntiCo,0,0,0.00,0.00,0,0
Ramkhamhaeng_University,0,0,0.00,0.00,0,0
Quantum_Reservation_Pte_Lt,0,0,0.00,0.00,0,0
